AWB Number,Order ID,SKU No,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Billing_Amount
1091117225484.00,2001806616.00,8904223818683.00,1,121,0.121,0.5,1.08,1.49,b,b,33,89.6
1091117227816.00,2001806801.00,8904223818683.00,1,121,0.121,0.5,1.35,1.49,b,b,33,89.6
1091117327496.00,2001807976.00,8904223818683.00,1,121,0.121,0.5,0.7,1,d,d,44.8,172.8
1091117435602.00,2001808286.00,8904223818683.00,1,121,0.121,0.5,0.77,1,d,d,45.4,90.2
1091117616121.00,2001809592.00,8904223818683.00,2,121,0.242,0.5,1.5,2,b,b,33,89.6
1091117803511.00,2001809934.00,8904223818683.00,1,121,0.121,0.5,0.82,1,d,d,45.4,90.2
1091117804200.00,2001810104.00,8904223818683.00,1,121,0.121,0.5,0.76,1,d,d,45.4,90.2
1091117904860.00,2001811039.00,8904223818683.00,1,121,0.121,0.5,0.68,1,d,d,45.4,90.2
1091118004245.00,2001811604.00,8904223818683.00,1,121,0.121,0.5,0.8,1,b,b,33,61.3
1091120014461.00,2001818390.00,8904223818683.00,1,121,0.121,0.5,0.8,1,e,e,55.5,213.5
1091120959225.00,2001821185.00,8904223818683.00,2,121,0.242,0.5,2.1,2.5,d,d,45.4,224.6
1091117222080.00,2001806229.00,8904223818706.00,1,127,0.127,0.5,0.71,1,d,d,45.4,90.2
1091117222194.00,2001806273.00,8904223818706.00,1,127,0.127,0.5,1,1,d,d,45.4,90.2
1091117222360.00,2001806304.00,8904223818706.00,1,127,0.127,0.5,0.71,1,d,d,45.4,90.2
1091117222570.00,2001806338.00,8904223818706.00,1,127,0.127,0.5,0.7,1,d,d,45.4,90.2
1091117223211.00,2001806446.00,8904223818706.00,1,127,0.127,0.5,0.69,1,d,d,45.4,90.2
1091117223351.00,2001806471.00,8904223818706.00,1,127,0.127,0.5,1.7,2,d,d,45.4,179.8
1091117223351.00,2001806471.00,8904223818706.00,2,127,0.254,0.5,1.7,2,d,d,45.4,179.8
1091117224353.00,2001806533.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117224611.00,2001806547.00,8904223818706.00,1,127,0.127,0.5,1,1,b,b,33,61.3
1091117225016.00,2001806575.00,8904223818706.00,1,127,0.127,0.5,0.68,1,b,b,33,61.3
1091117226221.00,2001806652.00,8904223818706.00,1,127,0.127,0.5,0.69,1,d,d,45.4,90.2
1091117226910.00,2001806726.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117226711.00,2001806735.00,8904223818706.00,1,127,0.127,0.5,0.69,1,d,d,45.4,90.2
1091117227573.00,2001806776.00,8904223818706.00,1,127,0.127,0.5,2.86,3,b,b,33,174.5
1091117228133.00,2001806823.00,8904223818706.00,1,127,0.127,0.5,0.59,1,d,d,45.4,90.2
1091117228192.00,2001806828.00,8904223818706.00,1,127,0.127,0.5,0.69,1,d,d,45.4,90.2
1091117229183.00,2001806968.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117229290.00,2001807004.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117323215.00,2001807084.00,8904223818706.00,1,127,0.127,0.5,0.67,1,d,d,45.4,90.2
1091117323812.00,2001807186.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,45.4,45.4
1091117324011.00,2001807241.00,8904223818706.00,1,127,0.127,0.5,0.79,1,d,d,45.4,90.2
1091117324206.00,2001807290.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,45.4,45.4
1091117333100.00,2001807329.00,8904223818706.00,1,127,0.127,0.5,0.73,1,d,d,45.4,90.2
1091117326424.00,2001807785.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117326612.00,2001807814.00,8904223818706.00,1,127,0.127,0.5,0.79,1,b,b,33,61.3
1091117326925.00,2001807852.00,8904223818706.00,1,127,0.127,0.5,0.74,1,d,d,45.4,90.2
1091117327172.00,2001807931.00,8904223818706.00,1,127,0.127,0.5,0.72,1,d,d,45.4,90.2
1091117327275.00,2001807956.00,8904223818706.00,1,127,0.127,0.5,1.08,1.49,b,b,33,89.6
1091117327570.00,2001807981.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,45.4,45.4
1091117435370.00,2001808207.00,8904223818706.00,1,127,0.127,0.5,0.79,1,d,d,45.4,90.2
1091117436346.00,2001808475.00,8904223818706.00,1,127,0.127,0.5,0.7,1,d,d,45.4,90.2
1091117436383.00,2001808507.00,8904223818706.00,1,127,0.127,0.5,0.79,1,b,b,33,61.3
1091117436464.00,2001808542.00,8904223818706.00,2,127,0.254,0.5,0.86,1,d,d,45.4,90.2
1091117436652.00,2001808585.00,8904223818706.00,1,127,0.127,0.5,0.72,1,b,b,33,61.3
1091117437035.00,2001808679.00,8904223818706.00,1,127,0.127,0.5,0.72,1,d,d,45.4,90.2
1091117437890.00,2001808837.00,8904223818706.00,1,127,0.127,0.5,0.67,1,d,d,45.4,90.2
1091117438074.00,2001808883.00,8904223818706.00,1,127,0.127,0.5,0.72,1,d,d,45.4,90.2
1091117611501.00,2001808992.00,8904223818706.00,1,127,0.127,0.5,0.72,1,d,d,45.4,90.2
1091117613962.00,2001809270.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117614452.00,2001809383.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,44.8,86.7
1091117616121.00,2001809592.00,8904223818706.00,1,127,0.127,0.5,1.5,2,b,b,33,89.6
1091117795623.00,2001809820.00,8904223818706.00,1,127,0.127,0.5,3,3,d,d,45.4,269.4
1091117804314.00,2001810125.00,8904223818706.00,1,127,0.127,0.5,0.66,1,d,d,45.4,90.2
1091117805390.00,2001810281.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117807140.00,2001810697.00,8904223818706.00,1,127,0.127,0.5,2.27,3,d,d,45.4,224.6
1091117904860.00,2001811039.00,8904223818706.00,1,127,0.127,0.5,0.68,1,d,d,45.4,90.2
1091117905022.00,2001811058.00,8904223818706.00,1,127,0.127,0.5,0.72,1,d,d,45.4,90.2
1091117957533.00,2001811153.00,8904223818706.00,1,127,0.127,0.5,0.76,1,d,d,45.4,90.2
1091118001865.00,2001811466.00,8904223818706.00,1,127,0.127,0.5,0.8,1,d,d,45.4,90.2
1091121844806.00,2001811475.00,8904223818706.00,1,127,0.127,0.5,0.5,1,b,b,33,33
1091118009786.00,2001811809.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,44.8,86.7
1091118442390.00,2001812195.00,8904223818706.00,1,127,0.127,0.5,0.67,1,d,d,45.4,90.2
1091118551656.00,2001812941.00,8904223818706.00,1,127,0.127,0.5,0.73,1,d,d,45.4,90.2
1091118553701.00,2001813009.00,8904223818706.00,1,127,0.127,0.5,1,1,d,d,45.4,90.2
1091118925110.00,2001814580.00,8904223818706.00,1,127,0.127,0.5,0.15,0.5,d,d,44.8,86.7
1091119429202.00,2001816996.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,45.4,45.4
1091120352712.00,2001819252.00,8904223818706.00,1,127,0.127,0.5,0.3,0.5,b,b,33,33
